final_split	sample_class	process_or_mode	physical_population_role	source_members	generated_events	candidate_rows_metadata	nonzero_candidate_sources
test	background	bbh_hbb_4fs	physical_ordinary_background_direct	1	10000	359	1
test	background	ggh_hbb	physical_ordinary_background_direct	1	10000	2	1
test	background	qcd_bbbb_general	auxiliary_overlapping_qcd_no_physical_yield	1	10000	350	1
test	background	qcd_bbbb_iht400to600	auxiliary_overlapping_qcd_no_physical_yield	1	10000	1556	1
test	background	qcd_hardqcd	physical_qcd_primary_transfer_and_secondary_direct_closure	19	184543	19	7
test	background	schannel_single_top	physical_ordinary_background_direct	1	10000	4	1
test	background	tchannel_antitop	physical_ordinary_background_direct	1	10000	4	1
test	background	tchannel_top	physical_ordinary_background_direct	1	10000	2	1
test	background	ttbar_inclusive	physical_ordinary_background_direct	1	10000	33	1
test	background	tth_hbb	physical_ordinary_background_direct	1	10000	1246	1
test	background	tttt	physical_ordinary_background_direct	1	10000	1963	1
test	background	ttw	physical_ordinary_background_direct	1	10000	65	1
test	background	ttz_zbb	physical_ordinary_background_direct	1	10000	1104	1
test	background	tw_antitop	physical_ordinary_background_direct	1	10000	10	1
test	background	tw_top	physical_ordinary_background_direct	1	10000	19	1
test	background	vbf_hbb	physical_ordinary_background_direct	1	10000	4	1
test	background	wh_hbb	physical_ordinary_background_direct	1	10000	5	1
test	background	ww	physical_ordinary_background_direct	1	10000	0	0
test	background	wwz_zbb	physical_ordinary_background_direct	1	5200	14	1
test	background	wz_zbb	physical_ordinary_background_direct	1	10000	0	0
test	background	wzz_zbb	physical_ordinary_background_direct	1	3300	13	1
test	background	zbbbb	physical_ordinary_background_direct	1	10000	301	1
test	background	zzz_zbb	physical_ordinary_background_direct	1	1500	13	1
test	signal	ggf_hh4b	physical_signal_direct	3	3000	174	3
test	signal	vbf_hh4b	physical_signal_direct	1	10000	638	1
train	background	bbh_hbb_4fs	physical_ordinary_background_direct	3	30000	1012	3
train	background	ggh_hbb	physical_ordinary_background_direct	8	80000	38	8
train	background	qcd_bbbb_general	auxiliary_overlapping_qcd_no_physical_yield	11	110000	3962	11
train	background	qcd_bbbb_iht400to600	auxiliary_overlapping_qcd_no_physical_yield	12	120000	18495	12
train	background	qcd_hardqcd	physical_qcd_primary_transfer_and_secondary_direct_closure	186	1811373	56	24
train	background	schannel_single_top	physical_ordinary_background_direct	1	10000	8	1
train	background	tchannel_antitop	physical_ordinary_background_direct	5	50000	19	5
train	background	tchannel_top	physical_ordinary_background_direct	6	60000	19	4
train	background	ttbar_inclusive	physical_ordinary_background_direct	81	810000	2745	81
train	background	tth_hbb	physical_ordinary_background_direct	2	20000	2411	2
train	background	tttt	physical_ordinary_background_direct	3	30000	5803	3
train	background	ttw	physical_ordinary_background_direct	4	40000	232	4
train	background	ttz_zbb	physical_ordinary_background_direct	3	30000	3169	3
train	background	tw_antitop	physical_ordinary_background_direct	4	40000	64	4
train	background	tw_top	physical_ordinary_background_direct	5	50000	47	5
train	background	vbf_hbb	physical_ordinary_background_direct	3	30000	20	3
train	background	wh_hbb	physical_ordinary_background_direct	4	40000	28	4
train	background	ww	physical_ordinary_background_direct	2	20000	0	0
train	background	wwz_zbb	physical_ordinary_background_direct	4	20800	33	4
train	background	wz_zbb	physical_ordinary_background_direct	4	40000	7	4
train	background	wzz_zbb	physical_ordinary_background_direct	4	13200	68	4
train	background	zbbbb	physical_ordinary_background_direct	19	190000	5544	19
train	background	zzz_zbb	physical_ordinary_background_direct	3	4500	45	3
train	signal	ggf_hh4b	physical_signal_direct	80	80000	4893	80
train	signal	vbf_hh4b	physical_signal_direct	7	70000	4444	7
validation	background	bbh_hbb_4fs	physical_ordinary_background_direct	1	10000	344	1
validation	background	ggh_hbb	physical_ordinary_background_direct	1	10000	3	1
validation	background	qcd_bbbb_general	auxiliary_overlapping_qcd_no_physical_yield	3	30000	1104	3
validation	background	qcd_bbbb_iht400to600	auxiliary_overlapping_qcd_no_physical_yield	2	20000	3049	2
validation	background	qcd_hardqcd	physical_qcd_primary_transfer_and_secondary_direct_closure	56	514084	6	6
validation	background	schannel_single_top	physical_ordinary_background_direct	1	10000	9	1
validation	background	tchannel_antitop	physical_ordinary_background_direct	2	20000	12	2
validation	background	tchannel_top	physical_ordinary_background_direct	1	10000	3	1
validation	background	ttbar_inclusive	physical_ordinary_background_direct	20	200000	681	20
validation	background	tth_hbb	physical_ordinary_background_direct	1	10000	1204	1
validation	background	ttw	physical_ordinary_background_direct	1	10000	51	1
validation	background	tw_antitop	physical_ordinary_background_direct	2	20000	34	2
validation	background	tw_top	physical_ordinary_background_direct	1	10000	13	1
validation	background	vbf_hbb	physical_ordinary_background_direct	1	10000	6	1
validation	background	wh_hbb	physical_ordinary_background_direct	1	10000	5	1
validation	background	ww	physical_ordinary_background_direct	1	10000	0	0
validation	background	wz_zbb	physical_ordinary_background_direct	1	10000	0	0
validation	background	zbbbb	physical_ordinary_background_direct	5	50000	1439	5
validation	background	zzz_zbb	physical_ordinary_background_direct	1	1500	15	1
validation	signal	ggf_hh4b	physical_signal_direct	17	17000	1045	17
validation	signal	vbf_hh4b	physical_signal_direct	2	20000	1201	2
